"","traffic_volume","holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","date_","hr"
"41",606,"None",270.21,0,0,90,"Clouds",2016-01-03,5
"42",1347,"None",270.11,0,0,90,"Clouds",2016-01-03,7
"43",2484,"None",270.12,0,0,75,"Clouds",2016-01-03,9
"44",3286,"None",270.68,0,0,90,"Clouds",2016-01-03,11
"45",3755,"None",270.96,0,0,90,"Clouds",2016-01-03,12
"46",4369,"None",270.98,0,0,90,"Clouds",2016-01-03,14
"47",4052,"None",271.12,0,0,90,"Clouds",2016-01-03,16
"48",3278,"None",270.21,0,0,1,"Clear",2016-01-03,18
"49",1813,"None",268.65,0,0,1,"Clear",2016-01-03,20
"50",1415,"None",267.3,0,0,1,"Clear",2016-01-03,22
"51",476,"None",265.36,0,0,1,"Clear",2016-01-04,0
"52",270,"None",263.51,0,0,1,"Clear",2016-01-04,2
"53",410,"None",261.64,0,0,1,"Mist",2016-01-04,3
"54",2672,"None",260.54,0,0,1,"Mist",2016-01-04,5
"55",5532,"None",259.91,0,0,1,"Mist",2016-01-04,6
"56",6234,"None",259.25,0,0,90,"Mist",2016-01-04,7
"57",6234,"None",259.25,0,0,90,"Fog",2016-01-04,7
"58",5670,"None",258.93,0,0,1,"Fog",2016-01-04,8
"59",5670,"None",258.93,0,0,1,"Mist",2016-01-04,8
"60",4637,"None",261.23,0,0,75,"Fog",2016-01-04,9
"61",4637,"None",261.23,0,0,75,"Mist",2016-01-04,9
"62",4637,"None",261.23,0,0,75,"Snow",2016-01-04,9
"63",4057,"None",263.24,0,0,1,"Mist",2016-01-04,10
"64",4057,"None",263.24,0,0,1,"Snow",2016-01-04,10
"65",4235,"None",265.88,0,0,1,"Clear",2016-01-04,11
"66",4667,"None",268.44,0,0,1,"Clear",2016-01-04,13
"67",5618,"None",268.68,0,0,1,"Clear",2016-01-04,15
"68",6053,"None",267.14,0,0,90,"Clouds",2016-01-04,17
"69",2834,"None",265.74,0,0,5,"Clear",2016-01-04,19
"70",1902,"None",265.93,0,0,90,"Mist",2016-01-04,21
"71",1389,"None",266.26,0,0,90,"Clouds",2016-01-04,22
"72",489,"None",266.21,0,0,90,"Clouds",2016-01-05,0
"73",351,"None",266.66,0,0,90,"Clouds",2016-01-05,1
"74",309,"None",266.87,0,0,90,"Clouds",2016-01-05,3
"75",2692,"None",268.43,0,0,90,"Clouds",2016-01-05,5
"76",5734,"None",268.11,0,0,40,"Clouds",2016-01-05,6
"77",6525,"None",267.86,0,0,40,"Clouds",2016-01-05,7
"78",5762,"None",267.61,0,0,1,"Clear",2016-01-05,8
"79",4836,"None",268.29,0,0,1,"Clear",2016-01-05,9
"80",4166,"None",269.51,0,0,75,"Clouds",2016-01-05,10
"81",4671,"None",271.28,0,0,1,"Clear",2016-01-05,12
"82",4708,"None",271.83,0,0,40,"Clouds",2016-01-05,13
"83",5188,"None",271.9,0,0,1,"Clear",2016-01-05,14
"84",6487,"None",271.52,0,0,1,"Clear",2016-01-05,16
"85",4306,"None",270.18,0,0,1,"Clear",2016-01-05,18
"86",2492,"None",269.28,0,0,90,"Clouds",2016-01-05,20
"87",1432,"None",269.59,0,0,90,"Clouds",2016-01-05,22
"88",972,"None",270.24,0,0,90,"Clouds",2016-01-05,23
"89",757,"None",270.7,0,0,90,"Clouds",2016-01-06,0
"90",555,"None",270.72,0,0,90,"Clouds",2016-01-06,1
"91",426,"None",270.85,0,0,90,"Clouds",2016-01-06,2
"92",475,"None",270.59,0,0,90,"Clouds",2016-01-06,3
"93",1007,"None",269.84,0,0,1,"Clear",2016-01-06,4
"94",2772,"None",269.3,0,0,1,"Clear",2016-01-06,5
"95",5765,"None",269.53,0,0,1,"Clear",2016-01-06,6
"96",6716,"None",269.64,0,0,1,"Clear",2016-01-06,7
"97",5104,"None",269.84,0,0,1,"Clear",2016-01-06,9
"98",4568,"None",271.66,0,0,1,"Clear",2016-01-06,11
"99",4699,"None",272.56,0,0,90,"Clouds",2016-01-06,12
"100",4889,"None",273.2,0.25,0,90,"Rain",2016-01-06,13
"101",5623,"None",273.41,0,0,90,"Clouds",2016-01-06,15
"102",6071,"None",273.26,0,0,90,"Haze",2016-01-06,17
"103",6071,"None",273.26,0,0,90,"Snow",2016-01-06,17
"104",2815,"None",272.65,0,0,90,"Snow",2016-01-06,19
"105",2815,"None",272.65,0,0,90,"Mist",2016-01-06,19
"106",2077,"None",272.47,0,0.25,90,"Snow",2016-01-06,21
"107",2077,"None",272.47,0,0.25,90,"Mist",2016-01-06,21
"108",926,"None",272.39,0,0,90,"Snow",2016-01-06,23
"109",926,"None",272.39,0,0,90,"Mist",2016-01-06,23
"110",926,"None",272.39,0,0,90,"Rain",2016-01-06,23
"111",558,"None",272.54,0,0,75,"Mist",2016-01-07,0
"112",558,"None",272.54,0,0,75,"Snow",2016-01-07,0
"113",323,"None",272.49,0,0,75,"Mist",2016-01-07,1
"114",323,"None",272.49,0,0,75,"Snow",2016-01-07,1
"115",315,"None",272.54,0,0,40,"Mist",2016-01-07,2
"116",315,"None",272.54,0,0,40,"Snow",2016-01-07,2
"117",524,"None",272.49,0,0,90,"Mist",2016-01-07,3
"118",524,"None",272.49,0,0,90,"Snow",2016-01-07,3
"119",1081,"None",272.49,0,0,90,"Snow",2016-01-07,4
"120",1081,"None",272.49,0,0,90,"Mist",2016-01-07,4
"121",2842,"None",272.54,0,0,90,"Mist",2016-01-07,5
"122",2842,"None",272.54,0,0,90,"Snow",2016-01-07,5
"123",6270,"None",272.59,0,0,90,"Mist",2016-01-07,7
"124",6270,"None",272.59,0,0,90,"Snow",2016-01-07,7
"125",4839,"None",272.68,0,0,90,"Mist",2016-01-07,9
"126",4839,"None",272.68,0,0,90,"Rain",2016-01-07,9
"127",4839,"None",272.68,0,0,90,"Snow",2016-01-07,9
"128",4517,"None",273.35,0,0,90,"Mist",2016-01-07,11
"129",4517,"None",273.35,0,0,90,"Snow",2016-01-07,11
"130",4879,"None",273.74,0,0.06,90,"Snow",2016-01-07,12
"131",4879,"None",273.74,0,0.06,90,"Mist",2016-01-07,12
"132",4738,"None",273.74,0,0,90,"Mist",2016-01-07,13
"133",4738,"None",273.74,0,0,90,"Snow",2016-01-07,13
"134",5811,"None",273.8,0,0.06,90,"Snow",2016-01-07,15
"135",5811,"None",273.8,0,0.06,90,"Mist",2016-01-07,15
"136",6438,"None",273.74,0,0.13,90,"Snow",2016-01-07,16
"137",6438,"None",273.74,0,0.13,90,"Mist",2016-01-07,16
"138",3099,"None",273.68,0,0,90,"Mist",2016-01-07,19
"139",3099,"None",273.68,0,0,90,"Snow",2016-01-07,19
"140",2910,"None",273.54,0,0,90,"Mist",2016-01-07,21
"141",1241,"None",273.52,0,0.1,90,"Snow",2016-01-07,23
"142",1241,"None",273.52,0,0.1,90,"Mist",2016-01-07,23
"143",628,"None",273.35,0,0.06,75,"Snow",2016-01-08,0
"144",628,"None",273.35,0,0.06,75,"Mist",2016-01-08,0
"145",628,"None",273.35,0,0.06,75,"Fog",2016-01-08,0
"146",628,"None",273.35,0,0.06,75,"Rain",2016-01-08,0
"147",359,"None",273.28,0,0.17,90,"Snow",2016-01-08,1
"148",359,"None",273.28,0,0.17,90,"Mist",2016-01-08,1
"149",359,"None",273.28,0,0.17,90,"Rain",2016-01-08,1
"150",401,"None",273.22,0,0.08,90,"Snow",2016-01-08,3
"151",401,"None",273.22,0,0.08,90,"Mist",2016-01-08,3
"152",815,"None",273.02,0,0,90,"Snow",2016-01-08,4
"153",815,"None",273.02,0,0,90,"Mist",2016-01-08,4
"154",2547,"None",273.08,0,0,90,"Snow",2016-01-08,5
"155",2547,"None",273.08,0,0,90,"Mist",2016-01-08,5
"156",5960,"None",272.91,0,0,90,"Mist",2016-01-08,7
"157",5960,"None",272.91,0,0,90,"Snow",2016-01-08,7
"158",4749,"None",272.98,0,0,90,"Mist",2016-01-08,9
"159",4749,"None",272.98,0,0,90,"Snow",2016-01-08,9
"160",4428,"None",273.71,0,0,90,"Mist",2016-01-08,10
"161",4428,"None",273.71,0,0,90,"Snow",2016-01-08,10
"162",4879,"None",273.92,0,0,90,"Mist",2016-01-08,12
"163",4879,"None",273.92,0,0,90,"Snow",2016-01-08,12
"164",4933,"None",273.8,0,0.25,90,"Snow",2016-01-08,13
"165",4933,"None",273.8,0,0.25,90,"Mist",2016-01-08,13
"166",5548,"None",273.67,0,0.13,90,"Snow",2016-01-08,15
"167",5548,"None",273.67,0,0.13,90,"Mist",2016-01-08,15
"168",5982,"None",272.56,0,0,90,"Snow",2016-01-08,17
"169",5982,"None",272.56,0,0,90,"Mist",2016-01-08,17
"170",3233,"None",271.33,0,0,90,"Snow",2016-01-08,19
"171",3233,"None",271.33,0,0,90,"Mist",2016-01-08,19
"172",2506,"None",270.15,0,0,90,"Snow",2016-01-08,21
"173",2506,"None",270.15,0,0,90,"Mist",2016-01-08,21
"174",2506,"None",270.15,0,0,90,"Haze",2016-01-08,21
"175",1514,"None",268.64,0,0,90,"Snow",2016-01-08,23
"176",1107,"None",266.47,0,0,90,"Clouds",2016-01-09,0
"177",690,"None",264.72,0,0,90,"Snow",2016-01-09,1
"178",480,"None",263.8,0,0,90,"Snow",2016-01-09,2
"179",273,"None",261.09,0,0,90,"Snow",2016-01-09,4
"180",850,"None",259.73,0,0,90,"Snow",2016-01-09,6
"181",1885,"None",258.9,0,0,90,"Clouds",2016-01-09,8
"182",3908,"None",259.09,0,0,90,"Clouds",2016-01-09,10
"183",4984,"None",258.99,0,0,90,"Snow",2016-01-09,12
"184",4984,"None",258.99,0,0,90,"Haze",2016-01-09,12
"185",4984,"None",258.99,0,0,90,"Mist",2016-01-09,12
"186",4570,"None",258.46,0,0,90,"Snow",2016-01-09,14
"187",4570,"None",258.46,0,0,90,"Haze",2016-01-09,14
"188",4237,"None",257.36,0,0,75,"Clouds",2016-01-09,16
"189",3861,"None",256.33,0,0,40,"Clouds",2016-01-09,18
"190",2491,"None",255.2,0,0,1,"Clear",2016-01-09,20
"191",2172,"None",253.62,0,0,1,"Clear",2016-01-09,22
"192",1107,"None",251.95,0,0,1,"Clear",2016-01-10,0
"193",480,"None",251.15,0,0,1,"Clear",2016-01-10,2
"194",273,"None",250.29,0,0,1,"Clear",2016-01-10,4
"195",748,"None",249.48,0,0,1,"Clear",2016-01-10,6
"196",1721,"None",249.22,0,0,1,"Clear",2016-01-10,8
"197",2779,"None",250.36,0,0,1,"Clear",2016-01-10,9
"198",3919,"None",251.15,0,0,1,"Clear",2016-01-10,10
"199",3973,"None",252.44,0,0,1,"Clear",2016-01-10,11
"200",3393,"None",253.08,0,0,1,"Clear",2016-01-10,12
"201",3258,"None",254.28,0,0,1,"Clear",2016-01-10,13
"202",3601,"None",254.82,0,0,1,"Clear",2016-01-10,15
"203",3240,"None",254.65,0,0,1,"Clear",2016-01-10,17
"204",2501,"None",251.83,0,0,1,"Clear",2016-01-10,19
"205",2941,"None",249.87,0,0,5,"Clear",2016-01-10,21
"206",805,"None",248.88,0,0,75,"Clouds",2016-01-10,23
"207",483,"None",248.08,0,0,1,"Clear",2016-01-11,0
"208",269,"None",248.22,0,0,90,"Mist",2016-01-11,1
"209",269,"None",248.22,0,0,90,"Snow",2016-01-11,1
"210",284,"None",248.51,0,0,1,"Mist",2016-01-11,3
"211",284,"None",248.51,0,0,1,"Haze",2016-01-11,3
"212",284,"None",248.51,0,0,1,"Snow",2016-01-11,3
"213",830,"None",248.22,0,0,1,"Clear",2016-01-11,4
"214",4873,"None",248.42,0,0,1,"Snow",2016-01-11,6
"215",4873,"None",248.42,0,0,1,"Haze",2016-01-11,6
"216",5494,"None",248.61,0,0,75,"Haze",2016-01-11,8
"217",5494,"None",248.61,0,0,75,"Snow",2016-01-11,8
"218",3921,"None",250.99,0,0,40,"Haze",2016-01-11,10
"219",3921,"None",250.99,0,0,40,"Mist",2016-01-11,10
"220",3921,"None",250.99,0,0,40,"Snow",2016-01-11,10
"221",4135,"None",255.21,0,0,40,"Snow",2016-01-11,11
"222",4477,"None",256.35,0,0,1,"Snow",2016-01-11,13
"223",5540,"None",257.75,0,0,90,"Haze",2016-01-11,15
"224",5540,"None",257.75,0,0,90,"Mist",2016-01-11,15
"225",5310,"None",257.93,0,0,90,"Snow",2016-01-11,17
"226",2535,"None",258.08,0,0,90,"Snow",2016-01-11,19
"227",1963,"None",258.3,0,0,40,"Snow",2016-01-11,21
"228",1215,"None",256.65,0,0,90,"Haze",2016-01-11,22
"229",1215,"None",256.65,0,0,90,"Snow",2016-01-11,22
"230",484,"None",256.36,0,0,20,"Snow",2016-01-12,0
"231",484,"None",256.36,0,0,20,"Haze",2016-01-12,0
"232",326,"None",255.55,0,0,1,"Snow",2016-01-12,1
"233",331,"None",254.95,0,0,1,"Snow",2016-01-12,3
"234",863,"None",253.69,0,0,1,"Clear",2016-01-12,4
"235",2577,"None",253.29,0,0,1,"Clear",2016-01-12,5
"236",5285,"None",252.35,0,0,1,"Clear",2016-01-12,6
"237",5207,"None",251.95,0,0,1,"Clear",2016-01-12,8
"238",4070,"None",252.36,0,0,1,"Clear",2016-01-12,10
"239",4221,"None",254.42,0,0,1,"Clear",2016-01-12,11
"240",4636,"None",255.48,0,0,1,"Clear",2016-01-12,13
"241",5638,"None",256.86,0,0,1,"Clear",2016-01-12,15
"242",6062,"None",256.44,0,0,5,"Clear",2016-01-12,17
"243",2972,"None",254.29,0,0,1,"Clear",2016-01-12,19
"244",3424,"None",253.44,0,0,1,"Clear",2016-01-12,21
"245",1049,"None",252.72,0,0,1,"Clear",2016-01-12,23
"246",655,"None",252.14,0,0,1,"Clear",2016-01-13,0
"247",486,"None",251.51,0,0,1,"Snow",2016-01-13,2
"248",948,"None",252.72,0,0,40,"Clouds",2016-01-13,4
"249",5587,"None",254.61,0,0,90,"Clouds",2016-01-13,6
"250",6191,"None",254.96,0,0,90,"Clouds",2016-01-13,8
"251",4222,"None",258.14,0,0,90,"Snow",2016-01-13,10
"252",4222,"None",258.14,0,0,90,"Haze",2016-01-13,10
"253",4639,"None",262.14,0,0,90,"Clouds",2016-01-13,12
"254",5167,"None",265.65,0,0,75,"Clouds",2016-01-13,14
"255",6636,"None",266.94,0,0,1,"Haze",2016-01-13,16
"256",4648,"None",265.52,0,0,1,"Haze",2016-01-13,18
"257",2702,"None",263.62,0,0,1,"Haze",2016-01-13,20
"258",1587,"None",263.22,0,0,75,"Haze",2016-01-13,22
"259",1587,"None",263.22,0,0,75,"Mist",2016-01-13,22
"260",1049,"None",263.08,0,0,1,"Haze",2016-01-13,23
"261",1049,"None",263.08,0,0,1,"Mist",2016-01-13,23
"262",351,"None",264.22,0,0,40,"Mist",2016-01-14,1
"263",351,"None",264.22,0,0,40,"Haze",2016-01-14,1
"264",835,"None",265.08,0,0,75,"Haze",2016-01-14,4
"265",835,"None",265.08,0,0,75,"Mist",2016-01-14,4
"266",5136,"None",265.15,0,0,90,"Haze",2016-01-14,6
"267",5714,"None",265.65,0,0,40,"Haze",2016-01-14,8
"268",5714,"None",265.65,0,0,40,"Mist",2016-01-14,8
"269",4297,"None",266.08,0,0,90,"Haze",2016-01-14,10
"270",4297,"None",266.08,0,0,90,"Mist",2016-01-14,10
"271",4754,"None",268.08,0,0,90,"Haze",2016-01-14,12
"272",4754,"None",268.08,0,0,90,"Mist",2016-01-14,12
"273",5462,"None",269.51,0,0,90,"Mist",2016-01-14,14
"274",5462,"None",269.51,0,0,90,"Haze",2016-01-14,14
"275",6713,"None",269.58,0,0,90,"Haze",2016-01-14,16
"276",6713,"None",269.58,0,0,90,"Mist",2016-01-14,16
"277",4437,"None",269.15,0,0,90,"Mist",2016-01-14,18
"278",4437,"None",269.15,0,0,90,"Haze",2016-01-14,18
"279",2826,"None",269.22,0,0,90,"Mist",2016-01-14,20
"280",2826,"None",269.22,0,0,90,"Haze",2016-01-14,20
"281",1871,"None",268.94,0,0,75,"Mist",2016-01-14,22
"282",1871,"None",268.94,0,0,75,"Haze",2016-01-14,22
"283",753,"None",268.58,0,0,90,"Mist",2016-01-15,0
"284",753,"None",268.58,0,0,90,"Haze",2016-01-15,0
"285",753,"None",268.58,0,0,90,"Snow",2016-01-15,0
"286",481,"None",268.29,0,0,90,"Mist",2016-01-15,1
"287",829,"None",267.58,0,0,90,"Mist",2016-01-15,4
"288",829,"None",267.58,0,0,90,"Haze",2016-01-15,4
"289",829,"None",267.58,0,0,90,"Snow",2016-01-15,4
"290",5394,"None",267.22,0,0,90,"Mist",2016-01-15,6
"291",5394,"None",267.22,0,0,90,"Snow",2016-01-15,6
"292",5502,"None",267.01,0,0,90,"Mist",2016-01-15,8
"293",5502,"None",267.01,0,0,90,"Snow",2016-01-15,8
"294",4447,"None",266.63,0,0,90,"Snow",2016-01-15,10
"295",5154,"None",266.02,0,0,90,"Clouds",2016-01-15,12
"296",5563,"None",267.01,0,0,90,"Clouds",2016-01-15,14
"297",6483,"None",266.79,0,0,1,"Clear",2016-01-15,16
"298",4799,"None",265.82,0,0,1,"Clear",2016-01-15,18
"299",2942,"None",265.09,0,0,40,"Clouds",2016-01-15,20
"300",3324,"None",262.86,0,0,90,"Clouds",2016-01-15,22
"301",1700,"None",262.01,0,0,90,"Clouds",2016-01-15,23
"302",1467,"None",261.73,0,0,90,"Clouds",2016-01-16,0
"303",1033,"None",261.28,0,0,75,"Clouds",2016-01-16,1
"304",738,"None",259.8,0,0,40,"Clouds",2016-01-16,2
"305",688,"None",257.3,0,0,1,"Clear",2016-01-16,5
"306",1211,"None",255.22,0,0,1,"Clear",2016-01-16,6
"307",1870,"None",254.68,0,0,40,"Clouds",2016-01-16,7
"308",2603,"None",254.51,0,0,40,"Clouds",2016-01-16,8
"309",3746,"None",255.22,0,0,90,"Clouds",2016-01-16,10
"310",4207,"None",255.35,0,0,90,"Snow",2016-01-16,11
"311",4207,"None",255.35,0,0,90,"Haze",2016-01-16,11
"312",4601,"None",255.51,0,0,90,"Snow",2016-01-16,12
"313",4601,"None",255.51,0,0,90,"Haze",2016-01-16,12
"314",4632,"None",255.87,0,0,75,"Haze",2016-01-16,14
"315",4636,"None",255.15,0,0,1,"Clear",2016-01-16,16
"316",3917,"None",253.46,0,0,1,"Clear",2016-01-16,18
"317",2683,"None",252.22,0,0,5,"Clear",2016-01-16,20
"318",2349,"None",251.35,0,0,1,"Clear",2016-01-16,22
"319",2082,"None",250.35,0,0,1,"Clear",2016-01-16,23
"320",1065,"None",250.15,0,0,1,"Clear",2016-01-17,0
"321",644,"None",248.75,0,0,1,"Clear",2016-01-17,2
"322",343,"None",248.41,0,0,1,"Clear",2016-01-17,3
"323",466,"None",248.28,0,0,90,"Haze",2016-01-17,4
"324",929,"None",247.68,0,0,40,"Clouds",2016-01-17,6
"325",1430,"None",247.15,0,0,1,"Clear",2016-01-17,7
"326",1988,"None",247.15,0,0,1,"Clear",2016-01-17,8
"327",2524,"None",248.68,0,0,5,"Clear",2016-01-17,9
"328",2857,"None",249.29,0,0,1,"Clear",2016-01-17,10
"329",3172,"None",251.15,0,0,1,"Clear",2016-01-17,11
"330",3954,"None",252.88,0,0,5,"Clear",2016-01-17,13
"331",3746,"None",253.44,0,0,1,"Clear",2016-01-17,14
"332",3749,"None",253.87,0,0,1,"Clear",2016-01-17,16
"333",2891,"None",252.87,0,0,1,"Clear",2016-01-17,18
"334",2084,"None",251.54,0,0,1,"Clear",2016-01-17,20
"335",1284,"None",250.87,0,0,1,"Clear",2016-01-17,22
"336",977,"None",249.93,0,0,1,"Clear",2016-01-17,23
"337",335,"None",249.35,0,0,1,"Clear",2016-01-18,1
"338",263,"None",248.62,0,0,1,"Clear",2016-01-18,2
"339",2124,"None",248.08,0,0,1,"Clear",2016-01-18,5
"340",4199,"None",248.28,0,0,90,"Clouds",2016-01-18,6
"341",4193,"None",248.68,0,0,90,"Clouds",2016-01-18,7
"342",3497,"None",249.65,0,0,90,"Clouds",2016-01-18,8
"343",3709,"None",250.41,0,0,90,"Clouds",2016-01-18,9
"344",3919,"None",252.14,0,0,90,"Clouds",2016-01-18,11
"345",4133,"None",254.54,0,0,90,"Clouds",2016-01-18,12
"346",4738,"None",255.55,0,0,90,"Clouds",2016-01-18,14
"347",4883,"None",256.15,0,0,75,"Clouds",2016-01-18,16
"348",3669,"None",254.51,0,0,1,"Clear",2016-01-18,18
"349",2141,"None",252.09,0,0,1,"Clear",2016-01-18,20
"350",1416,"None",251.22,0,0,1,"Clear",2016-01-18,22
"351",775,"None",250.75,0,0,1,"Haze",2016-01-19,0
"352",520,"None",250.69,0,0,1,"Clear",2016-01-19,2
"353",1144,"None",250.36,0,0,1,"Clear",2016-01-19,4
"354",5669,"None",249.75,0,0,1,"Clear",2016-01-19,6
"355",5883,"None",249.49,0,0,1,"Clear",2016-01-19,8
"356",4416,"None",251.88,0,0,1,"Clear",2016-01-19,10
"357",4757,"None",256.55,0,0,1,"Clear",2016-01-19,12
"358",5079,"None",258.51,0,0,40,"Clouds",2016-01-19,14
"359",6735,"None",259.15,0,0,90,"Clouds",2016-01-19,16
"360",4510,"None",259.43,0,0,90,"Clouds",2016-01-19,18
"361",2660,"None",259.5,0,0,90,"Snow",2016-01-19,20
"362",2388,"None",259.58,0,0,90,"Snow",2016-01-19,21
"363",997,"None",259.72,0,0,90,"Snow",2016-01-19,23
"364",319,"None",260.01,0,0,90,"Snow",2016-01-20,1
"365",254,"None",260.5,0,0,90,"Snow",2016-01-20,2
"366",254,"None",260.5,0,0,90,"Mist",2016-01-20,2
"367",345,"None",260.48,0,0,90,"Snow",2016-01-20,3
"368",345,"None",260.48,0,0,90,"Mist",2016-01-20,3
"369",2593,"None",261.01,0,0,90,"Snow",2016-01-20,5
"370",5705,"None",261.82,0,0,90,"Snow",2016-01-20,7
"371",5705,"None",261.82,0,0,90,"Mist",2016-01-20,7
"372",5122,"None",262.65,0,0,90,"Snow",2016-01-20,9
"373",5122,"None",262.65,0,0,90,"Mist",2016-01-20,9
"374",4402,"None",264.08,0,0,90,"Haze",2016-01-20,10
"375",4402,"None",264.08,0,0,90,"Snow",2016-01-20,10
"376",4402,"None",264.08,0,0,90,"Mist",2016-01-20,10
"377",4688,"None",265.36,0,0,90,"Haze",2016-01-20,12
"378",4688,"None",265.36,0,0,90,"Mist",2016-01-20,12
"379",4688,"None",265.36,0,0,90,"Snow",2016-01-20,12
"380",4740,"None",266.15,0,0,90,"Mist",2016-01-20,13
"381",4740,"None",266.15,0,0,90,"Haze",2016-01-20,13
"382",5661,"None",266.58,0,0,90,"Mist",2016-01-20,15
"383",5661,"None",266.58,0,0,90,"Haze",2016-01-20,15
"384",6494,"None",266.76,0,0,90,"Haze",2016-01-20,17
"385",6494,"None",266.76,0,0,90,"Mist",2016-01-20,17
"386",3183,"None",266.86,0,0,90,"Haze",2016-01-20,19
"387",3183,"None",266.86,0,0,90,"Snow",2016-01-20,19
"388",2338,"None",267.15,0,0,90,"Mist",2016-01-20,21
"389",1017,"None",267.08,0,0,75,"Haze",2016-01-20,23
"390",1017,"None",267.08,0,0,75,"Mist",2016-01-20,23
"391",539,"None",267.15,0,0,90,"Mist",2016-01-21,0
"392",539,"None",267.15,0,0,90,"Haze",2016-01-21,0
"393",335,"None",267.22,0,0,90,"Haze",2016-01-21,1
"394",335,"None",267.22,0,0,90,"Mist",2016-01-21,1
"395",319,"None",267.39,0,0,90,"Mist",2016-01-21,3
"396",319,"None",267.39,0,0,90,"Haze",2016-01-21,3
"397",874,"None",267.57,0,0,90,"Mist",2016-01-21,4
"398",874,"None",267.57,0,0,90,"Haze",2016-01-21,4
"399",6227,"None",267.58,0,0,90,"Mist",2016-01-21,7
"400",6227,"None",267.58,0,0,90,"Haze",2016-01-21,7
"401",4823,"None",267.5,0,0,90,"Mist",2016-01-21,9
"402",4823,"None",267.5,0,0,90,"Haze",2016-01-21,9
"403",4823,"None",267.5,0,0,90,"Snow",2016-01-21,9
"404",4545,"None",267.8,0,0,90,"Haze",2016-01-21,11
"405",4545,"None",267.8,0,0,90,"Mist",2016-01-21,11
"406",4545,"None",267.8,0,0,90,"Snow",2016-01-21,11
"407",4906,"None",267.79,0,0,90,"Haze",2016-01-21,12
"408",4906,"None",267.79,0,0,90,"Mist",2016-01-21,12
"409",4906,"None",267.79,0,0,90,"Snow",2016-01-21,12
"410",5246,"None",267.68,0,0,90,"Haze",2016-01-21,14
"411",5246,"None",267.68,0,0,90,"Mist",2016-01-21,14
"412",5246,"None",267.68,0,0,90,"Snow",2016-01-21,14
"413",6708,"None",267.22,0,0,90,"Haze",2016-01-21,16
"414",6708,"None",267.22,0,0,90,"Mist",2016-01-21,16
"415",6708,"None",267.22,0,0,90,"Snow",2016-01-21,16
"416",4269,"None",267.02,0,0,90,"Haze",2016-01-21,18
"417",4269,"None",267.02,0,0,90,"Snow",2016-01-21,18
"418",4269,"None",267.02,0,0,90,"Mist",2016-01-21,18
"419",2998,"None",266.88,0,0,90,"Clouds",2016-01-21,20
"420",2010,"None",266.87,0,0,90,"Snow",2016-01-21,22
